😀;嘿嘿;笑脸|脸|高兴
😃;哈哈;太棒了|开口笑|开口笑脸|笑脸|脸|高兴
😄;大笑;哈哈|开口而笑的脸|开心|笑|脸|露齿而笑|高兴
😁;嘻嘻;笑脸|笑颜|脸|露齿而笑
😆;斜眼笑;lol|咧嘴笑|哈哈|开心|眯眼|眯眼大笑|笑|脸|高兴
😅;苦笑;冷汗|出汗|开口冒冷汗的脸|汗|泄气|紧张|脸
🤣;笑得满地打滚;lolol|乐翻了|哈哈|地板|太扯了|打滚|满地打滚的笑|笑|笑得流泪|脸|超扯
😂;笑哭了;lol|喜极而泣|大笑|眼泪|笑|笑哭|脸
🙂;呵呵;开心|浅笑的脸|笑|脸
🙃;倒脸;好玩|好笑|脸|颠倒|颠倒的脸
🫠;融化;冷笑|哈哈|尴尬|微笑|消失|液体|溶解|热
😉;眨眼;媚眼|撩拨|眨眼的脸|笑|脸
😊;羞涩微笑;害羞|微笑|满意|笑脸相迎|羞涩|脸|脸红
😇;微笑天使;光环|天使|天真|幻想|微笑|脸|顶罩光环的笑脸
🥰;喜笑颜开;三颗爱心的笑脸|心|我爱你|爱慕|相爱|笑脸|迷恋|陷入爱河
😍;花痴;我爱你|爱|红心|脸
🤩;好崇拜哦;兴奋|咧嘴笑|满天星|满眼星|脸|追星族|露齿笑
😘;飞吻;亲亲|想你|我爱你|眨眼|脸
😗;亲亲;亲吻|吻|脸
☺️;微笑;呵呵|开心|放松|笑|脸
😚;羞涩亲亲;亲亲|吻|我爱你|羞涩|脸|闭眼|闭眼亲吻
😙;微笑亲亲;亲亲|吻|微笑|笑颜亲吻|脸
🥲;含泪的笑脸;喜悦|喜极而泣|幸福|微笑|微笑的|感动|感动的|感恩的|感激|眼泪|笑中带泪|笑脸|自豪|苦中作乐|释怀的|骄傲的
😋;好吃;口水|哈喇子|津津有味|流口水|美味|脸
😛;吐舌;吐舌头的脸|太好了|脸|舌头|调皮
😜;单眼吐舌;单眼|古怪|吐舌|开玩笑|怪人|挤眉弄眼|脸
🤪;滑稽;大小眼|大眼|小眼|滑稽的脸|疯狂的脸|疯眼|疯脸|脸
😝;眯眼吐舌;可怕|吐舌|尝|眯眼|眼睛|脸|都好|随便
🤑;发财;拜金|脸|见钱眼开|金钱至上|钱
🤗;抱抱;抱|拥抱|笑|脸
🤭;不说;不可说|傻笑|吃吃傻笑|哎呀|意外|捂嘴而笑|猛然发现|秘密|脸
🫢;睁眼捂嘴;哇塞|哑口无言|害怕|尴尬|怀疑|惊奇|惊愕|惊讶|敬畏|震惊
🫣;偷看;偷窥|凝视|害怕|害羞|尴尬|迷住
🤫;安静的脸;嘘|嘘声手势的脸|安静
🤔;想一想;思考|想|想事情|脸
🫡;致敬;军队|好|好的|收到|敬礼|是|阳光
🤐;闭嘴;住嘴|嘴|封口|秘密|脸
🤨;挑眉;不信任|不敢置信|不赞同|怀疑|氧起眉毛的脸|眉毛上挑的脸|脸
😐;冷漠;无感|脸|表情空洞|面无表情
😑;无语;没有反应|绷着脸|脸|茫然|面无表情
😶;沉默;嘴|安静|没嘴|秘密|脸
🫥;虚线脸;内向|无所谓|沮丧|消失|隐形|隐藏
😶‍🌫️;迷茫;
😏;得意;假笑|冷笑|得意的笑|脸|诡异地笑
😒;不高兴;不屑|不服|不爽的脸|脸|郁闷|鄙视|随便啦
🙄;翻白眼;不敢苟同|无语|白眼|脸|随便啦
😬;龇牙咧嘴;咬牙切齿|尴尬|牙医|脸|露齿|露齿而笑|鬼脸
😮‍💨;呼气;叹息|叹气|吹气|呼气的脸|唉|无奈|松一口气|疲惫|笑脸|释然
🤥;说谎;匹诺曹|脸|长鼻子|长鼻子脸
🫨;颤抖;哇|地震|天啊|惊喜|惊慌|晕头转向|疯狂|脸|震动|震惊
